global_step,train_loss,mcc,eval_loss
32,1.3301036357879639,0.18183588626369218,1.3702279329299927
64,1.2537189722061157,0.45459487891929234,1.2795644601186116
64,1.2537189722061157,0.45459487891929234,1.2795644601186116
96,1.0685125589370728,0.6736697890656076,1.0950368245442708
128,0.7572382688522339,0.7902841095712848,0.8819685578346252
128,0.7572382688522339,0.7902841095712848,0.8819685578346252
160,0.6268640756607056,0.8182050648027099,0.6684291164080302
192,0.31691795587539673,0.8409515644503244,0.5339230895042419
192,0.31691795587539673,0.8409515644503244,0.5339230895042419
224,0.45221659541130066,0.8522566037082746,0.457164188226064
256,0.2876131534576416,0.8346443223349075,0.43048347036043805
256,0.2876131534576416,0.8346443223349075,0.43048347036043805
288,0.418454647064209,0.840472861215273,0.40129315853118896
320,0.10890725255012512,0.8404935059748909,0.3796595533688863
320,0.10890725255012512,0.8404935059748909,0.3796595533688863
352,0.3126469850540161,0.8525971360342601,0.3770100176334381
384,0.36415499448776245,0.8525709167976516,0.36905861894289654
384,0.36415499448776245,0.8525709167976516,0.36905861894289654
416,0.135978102684021,0.8408238369463601,0.3721585124731064
448,0.3734475374221802,0.8406522567660623,0.35538138449192047
448,0.3734475374221802,0.8406522567660623,0.35538138449192047
480,0.2272387146949768,0.8525709167976516,0.3488869269688924
512,0.08176269382238388,0.8406522567660623,0.3494383941094081
512,0.08176269382238388,0.8406522567660623,0.3494383941094081
544,0.22997979819774628,0.8525709167976516,0.3512459446986516
